teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId
200,JUNGLE,Graves,False,2,6,5,23,SG2_78062067
200,MIDDLE,Sylas,False,14,7,3,18,SG2_78062067
200,BOTTOM,Senna,False,3,9,11,13,SG2_78062067
200,UTILITY,Mel,False,5,10,8,79,SG2_78062067
100,TOP,Riven,True,14,5,5,32,SG2_79197252
100,JUNGLE,Nocturne,True,6,6,4,32,SG2_79197252
100,MIDDLE,Taliyah,True,0,9,6,17,SG2_79197252
100,BOTTOM,Smolder,True,6,3,7,17,SG2_79197252
100,UTILITY,Thresh,True,3,4,10,85,SG2_79197252
200,TOP,Ambessa,False,5,8,2,17,SG2_79197252
200,JUNGLE,Pantheon,False,5,3,8,24,SG2_79197252
200,MIDDLE,Corki,False,10,8,6,17,SG2_79197252
200,BOTTOM,Velkoz,False,6,6,5,22,SG2_79197252
200,UTILITY,Karma,False,1,4,11,75,SG2_79197252
100,TOP,DrMundo,True,3,10,16,26,SG2_78045314
100,JUNGLE,Kayn,True,17,13,7,6,SG2_78045314
100,MIDDLE,Hwei,True,8,6,12,22,SG2_78045314
100,BOTTOM,Aphelios,True,17,10,16,22,SG2_78045314
100,UTILITY,Pyke,True,8,14,8,104,SG2_78045314
200,TOP,TahmKench,False,7,6,4,25,SG2_78045314
200,JUNGLE,Yorick,False,10,8,19,34,SG2_78045314
200,MIDDLE,Katarina,False,17,15,11,24,SG2_78045314
200,BOTTOM,Ashe,False,11,12,10,35,SG2_78045314
200,UTILITY,Seraphine,False,8,12,23,98,SG2_78045314
100,TOP,Gwen,True,5,0,1,6,SG2_79138017
100,JUNGLE,LeeSin,True,6,0,3,14,SG2_79138017
100,MIDDLE,Katarina,True,3,2,5,7,SG2_79138017
100,BOTTOM,Ashe,True,3,5,1,13,SG2_79138017
100,UTILITY,Milio,True,0,2,8,19,SG2_79138017
200,TOP,Jax,False,0,4,0,8,SG2_79138017
200,JUNGLE,Zed,False,6,4,1,16,SG2_79138017
200,MIDDLE,Aurora,False,0,2,2,6,SG2_79138017
200,BOTTOM,Varus,False,3,3,3,6,SG2_79138017
200,UTILITY,Janna,False,0,4,6,31,SG2_79138017
100,TOP,Camille,False,9,8,9,14,SG2_76854895
100,JUNGLE,MonkeyKing,False,15,8,9,36,SG2_76854895
100,MIDDLE,Seraphine,False,1,7,10,16,SG2_76854895
100,BOTTOM,Senna,False,9,8,15,43,SG2_76854895
100,UTILITY,Nautilus,False,3,8,16,110,SG2_76854895
200,TOP,Teemo,True,7,6,10,33,SG2_76854895
200,JUNGLE,Naafiri,True,8,7,16,41,SG2_76854895
200,MIDDLE,Yone,True,8,8,11,26,SG2_76854895
